Localidade,Quantidade Famílias Sem Registro Civil,Quantidade Famílias Cadastrado,Quantidade Famílias Total
BECO DA AMIZADE,0,1,1
BECO DA GLORIA,0,1,1
BEENFICA,0,1,1
BEIRA RIO,0,1,1
BELA VISTA,0,1,1
BEMFICA,0,1,1
BEN,0,1,1
BENFIC,0,1,1
BENFICA,1,4,4
BENTI RIBEIRO,0,1,1
BENTO RBEIRO,0,1,1
BENTO REBEIRO,0,4,4
BENTO RIBEIRO,0,2,2
BENTO RIBERO,0,4,4
BNAGU,0,2,2
BO,0,1,1
BOATFOGO,0,1,1
BOIUNA,0,2,2
BOMSUCESSO,0,1,1
BONSICESSO,0,2,2
BONSU,0,2,2
BONSUCESO,0,1,1
BONSUCESS0,0,3,3
BONSUCESSO,0,1,1
BONSUCSSO,0,2,2
BORDA DO MATO,0,1,1
BOREL,0,1,1
BOSUCESSO,0,3,3
BOTAFOFO,0,3,3
BOTAFOGO,0,1,1
BOTAFOGOL,0,1,1
BOTOFAGO,0,1,1
BRAS DE,0,1,1
BRAS DE OLIVEIRA,0,1,1
BRAS DE PINA,0,4,4
BRASDE PINA,0,1,1
BRAS DE PINARUA,0,3,3
BRAS DE PNA,0,1,1
BRAS DE PONA,0,1,1
BRAS DRE PINA,0,1,1
BRAS PINA,0,1,1
BRAZ DE PINA,0,56,56
BRS DE PINA,0,1,1
BUNSUCESSO,0,1,1
Localidade nÃ£o preenchida,0,2,2
CA 02,0,1,1
CAAMPO GRANDE,0,1,1
CACADURA,0,1,1
CACAMBI,0,1,1
CACHAMBI,0,1,1
CACHAMI,0,1,1
CACUIA,0,487,487
CAFUNDA,0,1,1
CAHAMBI,0,2,2
CAJU,0,5,5
CAJU7,0,1,1
CAJU PARQUE ALEGRIA,0,1,1
CAKI,0,1,1
CAM,0,1,1
CAMAPO GRANDE,0,1,1
CAMILA PAMELA FRANCISCO DE SOUZA,0,1,1
CAMMPO GRANDE,0,1,1
CAMO,0,1,1
CAMO GRANDE,0,7,7
CAMOP GRANDE,0,1,1
CAMOPO GRANDE,0,1,1
CAMORIM,0,533,533
C AMORIM,0,1,1
CAMP GRANDE,0,7,7
CAMPI GRANDE,0,3,3
CAMPIMHO,0,1,1
CAMPINHO,0,705,705
CAMPNHO,0,1,1
CAMPO,0,2,2
CAMPO DOS AFONSOS,0,9,9
CAMPO GANDE,0,14,14
CAMPO GARANDE,0,1,1
CAMPO GARNDE,0,2,2
CAMPO GRA,0,1,1
CAMPO GRADE,0,6,6
CAMPO GRADNE,0,1,1
CAMPO GRAMDE,0,2,2
CAMPO GRAND,0,1,1
CAMPO GRAND3E,0,1,1
CAMPO GRANDCE,0,1,1
CAMPOGRANDE,0,8,8
CAMP OGRANDE,0,1,1
CAMPO GRANDE,0,28,28
CAMPO GRAN DE,0,2,2
CAMPO GRANDE BECO,0,1,1
CAMPO GRANDEQ,0,4,4
CAMPO GRANDE RUA,0,1,1
CAMPO GRANDW,0,1,1
CAMPO GRANE,0,3,3
CAMPO GRANFDE,0,1,1
CAMPO GRANGE,0,1,1
CAMPO GRANNDE,0,1,1
CAMPO GRAQNDE,0,1,1
CAMPO GREANDE,0,2,2
CAMPO GRNADE,0,2,2
CAMPO GRNDE,0,9,9
CAMPO GTANDE,0,1,1
CAMPO GTRANDE,0,1,1
CAMPO GTRANMDE,0,1,1
CAMPOI GRANDE,0,2,2
CAMPOM GRANDE,0,2,2
CAMPO NGRANDE,0,1,1
CAMPOO GRANDE,0,2,2
CAMPOP GRANDE,0,1,1
CAMPO RANDE,0,1,1
CAMPPO GRANDE,0,3,3
CANCELA PRETA,0,3,3
CANDIDO MAGALHAES,0,3,3
CANMPO GRANDE,0,1,1
CANPO GRANDE,0,1,1
CAOSMOS,0,1,1
CAPINHO,0,1,1
CAPOEIRA GRANDE,0,1,1
CAPO GRANDE,0,2,2
CARIOCA,0,1,1
CARLOS ALBERTO ALVES MARTINS,0,1,1
CAS,0,2,2
CASA,0,1,1
CASACADURA,0,1,1
CASACDURA,0,3,3
CASCADRURA,0,1,1
CASCADURA,0,2,2
CASCADURA Q,0,1,1
CASCARURA,0,1,1
CASCAURA,0,1,1
CASCDAURA,0,1,1
CASCDURA,0,2,2
CASMPO GRANDE,0,3,3
CASTELO,0,1,1
CATET,0,2,2
CATETE,0,663,663
CATIA DOS SANTOS FERREIRA,0,1,1
CATIRI,0,9,9
CATUMBI,0,1,1
CATUMNI,0,1,1
CAVACANTI,0,1,1
CAVALACANTE,0,1,1
CAVALCANTE,0,38,38
CAVALCANTI,0,1,1
CAVALCATE,0,1,1
